product_pn,category,product_name,bullet_1,bullet_2,bullet_3,datasheet_link,manual_link,product_page_url,price,thumbnail
DC215,Voltage/Current Sources,DC Voltage/Current Source,±32 V and ±240 mA,4-quadrant operation (source/sink),"GPIB, Ethernet, & RS-232",https://www.thinksrs.com/downloads/pdfs/catalog/DC215c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/DC215m.pdf,https://www.thinksrs.com/products/dc215.html,"3,890",dc215.jpg
CS580,Voltage/Current Sources,Voltage Controlled Current Source,100 fA to 100 mA current range,±50 V compliance voltage,Up to 200 kHz bandwidth,https://www.thinksrs.com/downloads/pdfs/catalog/CS580c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/CS580m.pdf,https://www.thinksrs.com/products/cs580.html,"4,495",cs580.jpg
DC205,Voltage/Current Sources,Precision DC Voltage Source,±100 VDC range,1 ppm/°C stability,0.0025% accuracy (1 yr),https://www.thinksrs.com/downloads/pdfs/catalog/DC205c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/DC205m.pdf,https://www.thinksrs.com/products/dc205.html,"2,995",dc205.jpg
SR865A,Lock-in Amplifiers,4 MHz Lock-in Amplifier,1 mHz to 4 MHz,1 µs to 30 ks time constants,2.5 nV/√Hz at 1 kHz,https://www.thinksrs.com/downloads/pdfs/catalog/SR865Ac.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR865Am.pdf,https://www.thinksrs.com/products/sr865a.html,"9,150",sr865a.jpg
SR2124,Lock-in Amplifiers,Dual Phase Analog Lock-in Amplifier,All-analog design - no digital noise,0.2 Hz to 200 kHz measurement range,"Harmonic detection (f, 2f, 3f)",https://www.thinksrs.com/downloads/pdfs/catalog/SR2124c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR2124m.pdf,https://www.thinksrs.com/products/sr2124.html,"9,100",sr2124.jpg
SR542,Laser/Optical,Precision Optical Chopper,0.4 Hz to 20 kHz chop frequency,Low phase jitter,USB interface,https://www.thinksrs.com/downloads/pdfs/catalog/SR542c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR542m.pdf,https://www.thinksrs.com/products/sr542.html,"2,995",sr542.jpg
LDC501,Laser/Optical,Laser Diode Controller,500 mA current source,Ultra-low drift (<10 ppm/°C),36 W TEC controller,https://www.thinksrs.com/downloads/pdfs/catalog/LDC500c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/LDC501m.pdf,https://www.thinksrs.com/products/ldc501.html,"3,500",ldc501.jpg
SR446,Preamplifiers,400 MHz Preamplifier,Gain from 1 to 100 (0 to +40 dB),3.3 nV/√Hz input noise (@1 MHz),Differential output,https://www.thinksrs.com/downloads/pdfs/catalog/SR446c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR446m.pdf,https://www.thinksrs.com/products/sr446.html,"1,995",sr446.jpg
SR560,Preamplifiers,Low Noise Voltage Preamplifier,4 nV/√Hz input noise,1 MHz bandwidth,Line or battery operation,https://www.thinksrs.com/downloads/pdfs/catalog/SR560c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR560m.pdf,https://www.thinksrs.com/products/sr560.html,"3,095",sr560.jpg
CTC100,Temperature Control,Cryogenic Temperature Controller,4 temperature sensor inputs,Up to 6 feedback control loops,Data logging,https://www.thinksrs.com/downloads/pdfs/catalog/CTC100c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/CTC100m.pdf,https://www.thinksrs.com/products/ctc100.html,"4,700",ctc100.jpg
